issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Coalition A,Non-State Actors,Border incident,Severe,0.788,High,Localized displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Coalition B,Opposing Coalition,Maritime confrontation,Low,0.163,Medium,Humanitarian crisis,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,India; Pakistan,Regional Allies,State Actors,Airspace violation,High,0.506,Low,Humanitarian crisis,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,NATO,Non-State Actors,Border incident,Moderate,0.334,Low,Localized displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Eastern Europe,India; Pakistan,UN Mediation,Hybrid Threats,Maritime confrontation,Low,0.371,High,Mass displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,Coalition A,State Actors,Border incident,Severe,0.684,High,Humanitarian crisis,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,China; Taiwan,Regional Allies,Non-State Actors,Airspace violation,Low,0.465,Medium,Localized displacement,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,Russia; Ukraine,Coalition B,Hybrid Threats,Airspace violation,Severe,0.799,High,Humanitarian crisis,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Proxy conflict,Severe,0.069,Medium,Humanitarian crisis,Energy price spike,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Non-State Actors,Sanctions escalation,Low,0.569,Low,Mass displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,North Korea; South Korea,Non-Aligned,Non-State Actors,Airspace violation,Moderate,0.418,Low,Humanitarian crisis,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,East Asia,North Korea; South Korea,Non-Aligned,Non-State Actors,Cyber attack,High,0.835,High,Mass displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,UN Mediation,Non-State Actors,Maritime confrontation,Severe,0.383,Medium,Localized displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Non-State Actors,Border incident,Moderate,0.18,Low,Mass displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Latin America,Russia; Ukraine,Regional Allies,State Actors,Sanctions escalation,High,0.786,Medium,Mass displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,North Korea; South Korea,Regional Allies,State Actors,Airspace violation,High,0.207,Low,Humanitarian crisis,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,Russia; Ukraine,NATO,State Actors,Maritime confrontation,Low,0.547,High,Localized displacement,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Russia; Ukraine,UN Mediation,Opposing Coalition,Border incident,Low,0.585,Low,Humanitarian crisis,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Non-State Actors,Border incident,High,0.785,High,Localized displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Regional Allies,Non-State Actors,Proxy conflict,Severe,0.25,Medium,Mass displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,Venezuela; United States,Coalition B,State Actors,Maritime confrontation,Severe,0.321,Medium,Localized displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,Russia; Ukraine,NATO,State Actors,Sanctions escalation,Severe,0.096,High,Mass displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,India; Pakistan,Coalition B,Non-State Actors,Border incident,Moderate,0.809,Low,Localized displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,India; Pakistan,Regional Allies,Opposing Coalition,Proxy conflict,Severe,0.834,High,Humanitarian crisis,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,North Korea; South Korea,NATO,Non-State Actors,Airspace violation,Moderate,0.225,Low,Localized displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,UN Mediation,Hybrid Threats,Maritime confrontation,High,0.073,Medium,Humanitarian crisis,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Coalition A,Opposing Coalition,Proxy conflict,High,0.365,Low,Localized displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Coalition B,Opposing Coalition,Airspace violation,Moderate,0.512,Medium,Mass displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,China; Taiwan,Coalition B,Opposing Coalition,Border incident,Severe,0.332,High,Humanitarian crisis,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Border incident,Severe,0.392,High,Localized displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Latin America,China; Taiwan,Non-Aligned,Opposing Coalition,Airspace violation,Moderate,0.678,Low,Mass displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Eastern Europe,Russia; Ukraine,UN Mediation,Hybrid Threats,Cyber attack,Severe,0.042,High,Regional displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Regional Allies,State Actors,Cyber attack,High,0.493,Medium,Localized displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Cyber attack,High,0.415,Medium,Humanitarian crisis,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,East Asia,Venezuela; United States,Non-Aligned,Hybrid Threats,Airspace violation,Moderate,0.222,High,Mass displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Eastern Europe,Russia; Ukraine,Regional Allies,Opposing Coalition,Sanctions escalation,Low,0.397,Low,Localized displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,South Asia,Venezuela; United States,Coalition B,Opposing Coalition,Maritime confrontation,Moderate,0.24,High,Mass displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,NATO,Opposing Coalition,Airspace violation,Severe,0.3,Low,Regional displacement,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,State Actors,Maritime confrontation,Moderate,0.412,Low,Localized displacement,Global market impact,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Coalition A,State Actors,Sanctions escalation,High,0.348,Medium,Localized displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
