issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
India-Pakistan Escalation 2025,2025,Eastern Europe,India; Pakistan,High,Moderate,Moderate,Localized shock,0.099,48.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Severe,High,Low,Localized shock,0.568,68.2,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Latin America,North Korea; South Korea,High,None,High,Energy price spike,0.623,43.4,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,Venezuela; United States,High,None,Low,Energy price spike,0.82,35.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2026,Latin America,India; Pakistan,Moderate,Moderate,Severe,Energy price spike,0.818,64.4,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Moderate,Global market impact,0.143,40.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Middle East,Russia; Ukraine,High,High,Moderate,Localized shock,0.314,63.8,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Severe,Energy price spike,0.825,47.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Latin America,North Korea; South Korea,Moderate,Low,High,Regional recession,0.452,42.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,South Asia,North Korea; South Korea,Moderate,None,Low,Regional recession,0.645,22.7,🟢 Low,Cyber-Dominant,1,🟢 Low
Korean Peninsula Risk,2024,Latin America,Venezuela; United States,Severe,Moderate,High,Energy price spike,0.77,75.3,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Low,Regional recession,0.807,78.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Korean Peninsula Risk,2026,Middle East,Venezuela; United States,High,Moderate,Low,Regional recession,0.218,50.4,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,East Asia,North Korea; South Korea,Moderate,Low,Low,Energy price spike,0.296,25.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,Latin America,Venezuela; United States,Low,Low,High,Global market impact,0.436,40.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,China; Taiwan,Severe,None,High,Global market impact,0.334,50.0,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,High,Severe,Localized shock,0.116,72.0,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,Middle East,Russia; Ukraine,Moderate,High,Moderate,Regional recession,0.32,58.0,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2026,East Asia,North Korea; South Korea,Moderate,High,High,Energy price spike,0.369,62.4,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2024,Latin America,Russia; Ukraine,High,Low,Severe,Localized shock,0.833,61.2,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Middle East,China; Taiwan,Low,None,Moderate,Localized shock,0.829,20.1,🟢 Low,Cyber-Dominant,1,🟢 Low
Korean Peninsula Risk,2024,Latin America,Venezuela; United States,Severe,High,Low,Energy price spike,0.822,76.2,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Venezuela-US Tensions 2026,2024,Eastern Europe,China; Taiwan,Severe,High,Low,Regional recession,0.239,68.3,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Severe,Moderate,High,Regional recession,0.044,64.9,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2025,South Asia,Venezuela; United States,Low,High,Moderate,Regional recession,0.601,57.1,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2025,South Asia,Venezuela; United States,Low,Moderate,Severe,Energy price spike,0.292,49.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Eastern Europe,Venezuela; United States,Low,Low,Severe,Global market impact,0.846,53.2,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,South Asia,Venezuela; United States,Moderate,Moderate,Low,Regional recession,0.042,35.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,East Asia,North Korea; South Korea,Moderate,High,High,Localized shock,0.702,64.7,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Middle East,North Korea; South Korea,High,High,High,Global market impact,0.515,82.5,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2026,Eastern Europe,Russia; Ukraine,Moderate,None,High,Regional recession,0.287,28.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,South Asia,India; Pakistan,Low,None,Severe,Global market impact,0.666,38.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Low,Regional recession,0.47,25.5,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Global market impact,0.622,31.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,North Korea; South Korea,Moderate,Low,High,Global market impact,0.434,45.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Venezuela; United States,High,Low,Severe,Energy price spike,0.285,55.0,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,Latin America,North Korea; South Korea,Moderate,Moderate,Low,Energy price spike,0.619,43.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,India; Pakistan,High,None,Severe,Global market impact,0.638,55.4,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,High,Moderate,Low,Global market impact,0.541,59.6,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Energy price spike,0.566,13.1,🟢 Low,Cyber-Dominant,1,🟢 Low
Russia-Ukraine Conflict,2025,Middle East,Russia; Ukraine,Severe,None,Moderate,Regional recession,0.133,37.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Eastern Europe,North Korea; South Korea,Severe,High,Moderate,Localized shock,0.817,78.5,🔴 Critical,Nuclear Standoff,-1,🔴 Critical
Taiwan Strait Stability,2025,Middle East,China; Taiwan,Moderate,Moderate,High,Localized shock,0.781,54.4,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,High,Global market impact,0.662,61.7,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,Latin America,India; Pakistan,Moderate,None,High,Energy price spike,0.19,24.1,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2024,Eastern Europe,Russia; Ukraine,Moderate,High,Low,Localized shock,0.088,42.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Moderate,Energy price spike,0.811,40.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,Severe,None,High,Localized shock,0.223,38.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Middle East,India; Pakistan,Low,High,High,Localized shock,0.318,52.1,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,Moderate,None,High,Regional recession,0.011,23.3,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2026,Latin America,Russia; Ukraine,Low,None,High,Energy price spike,0.387,21.7,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2026,Middle East,India; Pakistan,Severe,None,High,Localized shock,0.164,37.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2026,Latin America,India; Pakistan,Low,Low,Severe,Energy price spike,0.826,47.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,High,Localized shock,0.579,56.7,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,South Asia,India; Pakistan,Moderate,Low,Moderate,Localized shock,0.832,37.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,China; Taiwan,Low,Low,Low,Global market impact,0.565,30.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Severe,Moderate,Severe,Localized shock,0.275,68.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Energy price spike,0.642,37.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,Middle East,Russia; Ukraine,High,Low,Severe,Localized shock,0.059,47.6,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Severe,Regional recession,0.026,23.5,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2024,Middle East,India; Pakistan,Severe,None,Moderate,Localized shock,0.518,38.0,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2024,Eastern Europe,China; Taiwan,Low,None,Low,Localized shock,0.241,3.9,🟢 Low,Direct Confrontation,-1,🟢 Low
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Severe,Low,Moderate,Global market impact,0.514,59.1,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,Low,None,Low,Global market impact,0.032,9.6,🟢 Low,Direct Confrontation,-1,🟢 Low
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Moderate,High,High,Regional recession,0.766,71.7,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,Eastern Europe,India; Pakistan,Severe,Low,Low,Global market impact,0.264,48.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,High,Regional recession,0.661,52.3,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,Eastern Europe,China; Taiwan,Moderate,Low,Moderate,Global market impact,0.217,36.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,India; Pakistan,High,None,Low,Regional recession,0.224,27.0,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,South Asia,China; Taiwan,High,Low,Moderate,Regional recession,0.548,50.3,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Low,Low,Low,Energy price spike,0.632,26.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,Russia; Ukraine,Severe,Moderate,Severe,Global market impact,0.391,80.3,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Low,Moderate,Moderate,Global market impact,0.387,45.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,Moderate,Moderate,Severe,Regional recession,0.087,53.9,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2025,South Asia,China; Taiwan,Moderate,High,High,Localized shock,0.63,63.5,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,Russia; Ukraine,High,Moderate,High,Localized shock,0.569,62.4,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Moderate,Localized shock,0.099,65.8,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,Latin America,China; Taiwan,Moderate,Moderate,High,Global market impact,0.579,60.2,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,High,High,High,Energy price spike,0.503,76.4,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Moderate,Localized shock,0.713,47.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Localized shock,0.839,55.4,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2026,South Asia,North Korea; South Korea,Severe,High,Moderate,Energy price spike,0.779,81.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
India-Pakistan Escalation 2025,2024,Latin America,North Korea; South Korea,High,High,Moderate,Localized shock,0.632,69.3,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Low,Moderate,Low,Localized shock,0.493,31.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Regional recession,0.329,23.0,🟢 Low,Direct Confrontation,1,🟢 Low
Israel-Arab Tensions,2025,Eastern Europe,North Korea; South Korea,Moderate,Moderate,Low,Localized shock,0.271,33.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2026,South Asia,India; Pakistan,Low,Low,High,Regional recession,0.5,37.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,China; Taiwan,Severe,Moderate,Low,Localized shock,0.041,47.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,South Asia,Russia; Ukraine,Moderate,Moderate,High,Localized shock,0.682,52.6,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,Latin America,Russia; Ukraine,Severe,High,High,Energy price spike,0.501,82.3,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2024,Middle East,India; Pakistan,Low,None,Moderate,Regional recession,0.188,14.7,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2025,Latin America,India; Pakistan,High,High,Severe,Energy price spike,0.629,84.5,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2024,Eastern Europe,Russia; Ukraine,Moderate,High,Severe,Energy price spike,0.807,75.9,🔴 Critical,Cyber-Dominant,1,🔴 Critical
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Moderate,High,Moderate,Global market impact,0.642,67.2,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Severe,Moderate,Severe,Global market impact,0.45,81.4,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2025,East Asia,Venezuela; United States,Low,None,Moderate,Global market impact,0.053,15.8,🟢 Low,Direct Confrontation,-1,🟢 Low
Korean Peninsula Risk,2025,Eastern Europe,India; Pakistan,Low,None,High,Global market impact,0.323,26.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Latin America,North Korea; South Korea,Low,None,High,Energy price spike,0.089,16.5,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2026,Middle East,North Korea; South Korea,Low,High,Moderate,Regional recession,0.282,51.5,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2026,Eastern Europe,India; Pakistan,Severe,Moderate,Moderate,Energy price spike,0.17,58.9,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,Low,Moderate,Moderate,Localized shock,0.079,30.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,Latin America,India; Pakistan,Moderate,High,Moderate,Energy price spike,0.785,63.8,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,East Asia,Russia; Ukraine,Moderate,High,Severe,Regional recession,0.675,76.0,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,High,Moderate,High,Energy price spike,0.22,59.8,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Severe,Localized shock,0.769,65.9,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Severe,Moderate,Moderate,Regional recession,0.391,65.1,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,East Asia,Russia; Ukraine,Low,None,Severe,Regional recession,0.508,32.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Latin America,China; Taiwan,Moderate,High,Severe,Localized shock,0.69,70.4,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,Severe,Low,Moderate,Energy price spike,0.199,47.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,North Korea; South Korea,Severe,High,Severe,Regional recession,0.809,95.9,🔴 Critical,Proxy War,-1,🔴 Critical
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,High,Low,Low,Localized shock,0.445,36.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,India; Pakistan,Severe,High,High,Global market impact,0.15,82.0,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2024,Middle East,India; Pakistan,Low,Low,Severe,Localized shock,0.788,42.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,High,Regional recession,0.583,68.5,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,Low,High,High,Global market impact,0.249,60.3,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,India; Pakistan,Moderate,Low,Severe,Regional recession,0.187,43.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Severe,Moderate,Moderate,Global market impact,0.301,67.0,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,Latin America,North Korea; South Korea,Low,Moderate,Low,Energy price spike,0.233,30.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,Low,High,Energy price spike,0.843,47.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Middle East,Venezuela; United States,Severe,High,Moderate,Regional recession,0.189,73.3,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,High,Global market impact,0.482,52.6,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Middle East,Venezuela; United States,Severe,High,High,Regional recession,0.314,81.3,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2025,Latin America,Russia; Ukraine,Moderate,None,High,Localized shock,0.791,31.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Moderate,Localized shock,0.814,60.8,🟠 High,Nuclear Standoff,1,🟠 High
